id,id_label,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood
66752,66752,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:58:52Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.2071,45.39075,Colchester,
66753,66753,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:17Z,2022-08-25T00:30:00Z,Cause Being Investigated,-63.15366,45.43424,Colchester,
66754,66754,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:19Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.07603,45.46616,Colchester,
66755,66755,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:24Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.09698,45.50617,Colchester,
66741,66741,1,2022-08-24T20:54:35Z,2022-08-24T21:04:36Z,2,4,4,2022-08-24T20:42:56Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.57205,44.64118,Halifax,Barrington South
66730,66730,1,2022-08-24T16:14:34Z,2022-08-24T20:04:34Z,15,4,4,2022-08-24T16:07:46Z,2022-08-24T20:45:00Z,Cause Being Investigated,-64.33581,44.33189,Lunenburg,
66721,66721,1,2022-08-24T12:24:34Z,2022-08-24T19:44:34Z,29,4,4,2022-08-24T12:06:00Z,2022-08-24T20:00:00Z,Cause Being Investigated,-61.40319,45.61522,Guysborough,
66735,66735,1,2022-08-24T19:04:32Z,2022-08-24T19:44:34Z,5,4,4,2022-08-24T18:59:27Z,2022-08-24T23:30:00Z,Cause Being Investigated,-64.52788,45.13589,Kings,
66736,66736,1,2022-08-24T19:04:32Z,2022-08-24T19:44:34Z,5,4,4,2022-08-24T16:42:00Z,2022-08-24T21:15:00Z,Cause Being Investigated,-64.4807,45.17251,Kings,
66734,66734,1,2022-08-24T17:34:34Z,2022-08-24T19:14:34Z,5,21,21,2022-08-24T17:00:20Z,2022-08-24T21:45:00Z,Cause Being Investigated,-62.82479,45.69465,Pictou,
66723,66723,1,2022-08-24T12:44:34Z,2022-08-24T18:14:35Z,21,82,82,2022-08-24T12:32:24Z,2022-08-24T18:30:00Z,Planned Maintenance,-64.7452,44.44328,Lunenburg,
66727,66727,1,2022-08-24T14:54:35Z,2022-08-24T17:34:34Z,12,4,4,2022-08-24T14:50:26Z,2022-08-24T18:15:00Z,Cause Being Investigated,-63.64112,44.53892,Halifax,
66731,66731,1,2022-08-24T17:14:36Z,2022-08-24T17:34:34Z,2,4,4,2022-08-24T17:05:00Z,2022-08-24T21:00:00Z,Cause Being Investigated,-62.82499,45.69412,Pictou,
66732,66732,1,2022-08-24T17:14:36Z,2022-08-24T17:34:34Z,2,4,4,2022-08-24T17:00:20Z,2022-08-24T21:00:00Z,Cause Being Investigated,-62.81993,45.69277,Pictou,
66733,66733,1,2022-08-24T17:14:36Z,2022-08-24T17:34:34Z,2,4,4,2022-08-24T16:42:00Z,2022-08-24T21:15:00Z,Cause Being Investigated,-64.4807,45.17251,Kings,
66718,66718,1,2022-08-24T11:54:30Z,2022-08-24T17:14:36Z,24,4,4,2022-08-24T11:44:00Z,2022-08-24T17:15:00Z,Cause Being Investigated,-63.66294,44.77899,Halifax,Lower Sackville
66729,66729,1,2022-08-24T16:04:35Z,2022-08-24T17:04:35Z,6,4,4,2022-08-24T15:49:00Z,2022-08-24T19:45:00Z,Cause Being Investigated,-63.69397,45.75422,Cumberland,
66722,66722,1,2022-08-24T12:44:34Z,2022-08-24T16:54:34Z,17,73,73,2022-08-24T11:49:21Z,2022-08-24T18:00:00Z,Cause Being Investigated,-63.52932,44.68755,Halifax,Tam O'Shanter Ridge
66725,66725,1,2022-08-24T13:34:34Z,2022-08-24T16:44:35Z,12,4,4,2022-08-24T13:18:59Z,2022-08-24T17:30:00Z,Cause Being Investigated,-60.10571,46.23903,Cape Breton,
66714,66714,1,2022-08-24T10:44:34Z,2022-08-24T15:54:34Z,22,8,8,2022-08-24T06:00:00Z,2022-08-24T16:45:00Z,Cause Being Investigated,-63.61097,44.85476,Halifax,
66724,66724,1,2022-08-24T13:04:34Z,2022-08-24T15:54:34Z,10,4,5,2022-08-24T12:57:22Z,2022-08-24T17:30:00Z,Cause Being Investigated,-64.15252,44.9479,Hants,
66726,66726,1,2022-08-24T14:14:34Z,2022-08-24T14:24:35Z,2,4,4,2022-08-24T14:06:55Z,2022-08-24T17:30:00Z,Cause Being Investigated,-63.48637,44.66817,Halifax,Colby Village
66717,66717,1,2022-08-24T11:54:30Z,2022-08-24T12:44:34Z,6,4,4,2022-08-24T11:49:21Z,2022-08-24T15:15:00Z,Cause Being Investigated,-63.52902,44.68753,Halifax,Tam O'Shanter Ridge
66720,66720,1,2022-08-24T12:14:33Z,2022-08-24T12:44:34Z,4,7,7,2022-08-24T11:53:00Z,2022-08-24T15:15:00Z,Cause Being Investigated,-63.71841,44.64871,Halifax,Timberlea
66712,66712,1,2022-08-24T06:24:35Z,2022-08-24T12:34:34Z,17,4,4,2022-08-24T05:12:00Z,2022-08-24T13:00:00Z,Cause Being Investigated,-64.56243,44.32037,Lunenburg,
66719,66719,1,2022-08-24T12:04:32Z,2022-08-24T12:14:33Z,2,4,4,2022-08-24T11:53:00Z,2022-08-24T15:00:00Z,Cause Being Investigated,-63.71837,44.64854,Halifax,Timberlea
66716,66716,1,2022-08-24T11:24:34Z,2022-08-24T11:44:28Z,2,4,4,2022-08-24T11:16:00Z,2022-08-24T14:45:00Z,Cause Being Investigated,-63.52902,44.68753,Halifax,Tam O'Shanter Ridge
